1671487006.597416 client started (25628): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1671487006.597452 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1671487006.597882 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1671487006.597976 flags are 0x10010000
1671487006.598056 socket is /private/tmp/tmux-501/default
1671487006.598074 trying connect
1671487006.598124 add peer 0x148008000: 6 (0x0)
1671487006.600111 sending message 100 to peer 0x148008000 (4 bytes)
1671487006.600124 sending message 111 to peer 0x148008000 (8 bytes)
1671487006.600129 sending message 101 to peer 0x148008000 (15 bytes)
1671487006.600134 sending message 109 to peer 0x148008000 (4 bytes)
1671487006.600138 sending message 102 to peer 0x148008000 (13 bytes)
1671487006.600142 sending message 108 to peer 0x148008000 (26 bytes)
1671487006.600176 sending message 112 to peer 0x148008000 (58 bytes)
1671487006.600188 sending message 112 to peer 0x148008000 (5 bytes)
1671487006.600193 sending message 112 to peer 0x148008000 (5 bytes)
1671487006.600198 sending message 112 to peer 0x148008000 (6 bytes)
1671487006.600202 sending message 112 to peer 0x148008000 (6 bytes)
1671487006.600206 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600210 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600214 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600218 sending message 112 to peer 0x148008000 (14 bytes)
1671487006.600222 sending message 112 to peer 0x148008000 (19 bytes)
1671487006.600226 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600229 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600233 sending message 112 to peer 0x148008000 (15 bytes)
1671487006.600237 sending message 112 to peer 0x148008000 (21 bytes)
1671487006.600241 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600244 sending message 112 to peer 0x148008000 (7 bytes)
1671487006.600248 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600252 sending message 112 to peer 0x148008000 (7 bytes)
1671487006.600256 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600259 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600263 sending message 112 to peer 0x148008000 (21 bytes)
1671487006.600267 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600271 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600275 sending message 112 to peer 0x148008000 (16 bytes)
1671487006.600278 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600282 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600286 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600290 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600293 sending message 112 to peer 0x148008000 (8 bytes)
1671487006.600297 sending message 112 to peer 0x148008000 (8 bytes)
1671487006.600301 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600305 sending message 112 to peer 0x148008000 (7 bytes)
1671487006.600309 sending message 112 to peer 0x148008000 (7 bytes)
1671487006.600312 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600316 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600320 sending message 112 to peer 0x148008000 (15 bytes)
1671487006.600324 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600328 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600332 sending message 112 to peer 0x148008000 (8 bytes)
1671487006.600336 sending message 112 to peer 0x148008000 (14 bytes)
1671487006.600339 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600343 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600347 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600351 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600355 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600358 sending message 112 to peer 0x148008000 (10 bytes)
1671487006.600362 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600374 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600377 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600380 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600383 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600385 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600388 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600391 sending message 112 to peer 0x148008000 (11 bytes)
1671487006.600393 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600396 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600399 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600401 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600404 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600407 sending message 112 to peer 0x148008000 (9 bytes)
1671487006.600409 sending message 112 to peer 0x148008000 (12 bytes)
1671487006.600412 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600415 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600417 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600420 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600423 sending message 112 to peer 0x148008000 (13 bytes)
1671487006.600425 sending message 112 to peer 0x148008000 (8 bytes)
1671487006.600428 sending message 112 to peer 0x148008000 (11 bytes)
